,cell_number,concave_regularity,brittleness,sample
AL189T_150,4.40671924726425,0.371830486434528,0.877177752946061,AL189T
AL189T_151,3.95124371858143,0.203267261756039,0.781005752479917,AL189T
AL189T_152,4.36944785246702,0.502507615566888,0.937040641034243,AL189T
AL189T_153,4.02535169073515,0.0349383830825456,0.58921848555425,AL189T
AL189T_154,3.98898404656427,0.0440197105789976,0.664754501328835,AL189T
AL189T_155,3.58351893845611,0.0703045975817864,0.766263260513924,AL189T
AL189T_156,4.11087386417331,0.310307490675249,0.833325392038395,AL189T
AL189T_157,3.46573590279973,0.267970417251163,0.81014865415978,AL189T
AL189T_158,4.29045944114839,0.594584044884977,0.909308545259975,AL189T
AL189T_159,3.66356164612965,0.114094009340019,0.780249905596163,AL189T
AL189T_160,3.98898404656427,0.379937036834419,0.841207337639081,AL189T
AL189T_161,3.85014760171006,0.113794640611549,0.849228892999577,AL189T
AL189T_162,4.06044301054642,0.122832049619353,0.677626190214297,AL189T
AL189T_163,4.26267987704132,0.233125336909431,0.803783725286616,AL189T
AL189T_164,4.14313472639153,0.389866551154566,0.887320191357213,AL189T
AL189T_165,4.20469261939097,0.119239888723251,0.824406446432976,AL189T
AL189T_166,4.00733318523247,0.233292345612012,0.827955685091952,AL189T
AL189T_167,4.39444915467244,0.547944325150669,0.845916718019341,AL189T
AL189T_168,3.8286413964891,0.0471572144029614,0.659076080742408,AL189T
AL189T_169,3.49650756146648,0.04731973110056,0.583304851664282,AL189T
AL189T_170,3.80666248977032,0.156207966958416,0.687902253110278,AL189T
AL189T_171,3.8286413964891,0.159346071602249,0.736137723866888,AL189T
AL189T_172,4.00733318523247,0.0513545124108421,0.678185787611729,AL189T
AL189T_173,3.58351893845611,0.0465482559979691,0.611169072367763,AL189T
AL189T_174,3.85014760171006,0.0903598723797029,0.837005021020008,AL189T
AL189T_175,4.12713438504509,0.00693894053154134,0.740194447106766,AL189T
AL189T_176,4.18965474202643,0.514233417014699,0.955624747867803,AL189T
AL189T_177,3.98898404656427,0.269632122476991,0.773144267058439,AL189T
AL189T_178,4.02535169073515,0.253868316270285,0.821234174267687,AL189T
AL189T_179,4.00733318523247,0.158569929307074,0.85384886656166,AL189T
AL189T_180,3.95124371858143,0.290266665397954,0.804996321187898,AL189T
AL189T_181,3.71357206670431,0.141171868068456,0.669044584271557,AL189T
AL189T_182,3.71357206670431,0.135966797763367,0.582867998440742,AL189T
AL189T_183,4.07753744390572,0.519418756097637,0.926776735128239,AL189T
AL189T_184,3.71357206670431,0.103273604651374,0.810110502351381,AL189T
AL189T_185,3.55534806148941,0.129742411628682,0.690170020471043,AL189T
AL189T_186,3.55534806148941,0.0190761470815646,0.627545164975126,AL189T
AL189T_187,3.80666248977032,0.214684073780755,0.833449640059889,AL189T
AL189T_188,4.12713438504509,0.0437390439918531,0.579097863192101,AL189T
AL189T_189,3.89182029811063,0.128413784376019,0.626698927654222,AL189T
AL189T_190,3.85014760171006,0.181580872862017,0.797849782547789,AL189T
AL189T_191,3.80666248977032,0.04011631172075,0.805894484734892,AL189T
AL189T_192,3.71357206670431,0.0859323151914125,0.68173294540894,AL189T
AL189T_193,3.85014760171006,0.443762659120443,0.96596104309043,AL189T
AL189T_194,3.89182029811063,0.395635614962874,0.836936978461099,AL189T
AL189T_195,3.87120101090789,0.279603575903391,0.823209182626418,AL189T
AL189T_196,3.95124371858143,0.153111529350988,0.81579116094389,AL189T
AL189T_197,3.87120101090789,0.364317979455422,0.878620572963059,AL189T
AL189T_198,4.07753744390572,0.583298542166941,0.945229840509229,AL189T
AL189T_199,3.87120101090789,0.412855400399924,0.932940310612798,AL189T
AL189T_200,3.71357206670431,0.351823487933009,0.867052803143332,AL189T
AL189T_201,3.46573590279973,0.0886377374227929,0.807272104715038,AL189T
