,Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance,color
ARPC1A,ARPC1A,3039.33096427882,0.0310534677837129,0.110169876814636,0.281868952580943,0.778043996898377,0.999982363306687,Not Significant,grey
ARPC1B,ARPC1B,3336.71375957085,-0.0787433404740513,0.104837526015616,-0.751098804662004,0.452593195071826,0.999982363306687,Not Significant,grey
ARPC2,ARPC2,5988.41459995241,-0.150704005494565,0.0926178847745733,-1.62715879186153,0.103703377179012,0.999982363306687,Not Significant,grey
ARPC3,ARPC3,4237.18455762388,-0.0610964403480088,0.0986935218746482,-0.619052184859794,0.535881981312895,0.999982363306687,Not Significant,grey
ARPC4,ARPC4,1636.73655559952,-0.0444266467512953,0.137278056850868,-0.323625259349047,0.746221762085927,0.999982363306687,Not Significant,grey
ARPC5,ARPC5,5464.05622088733,-0.0686483954408247,0.101009549787743,-0.679622823634786,0.49674331425508,0.999982363306687,Not Significant,grey
ARPC5L,ARPC5L,1143.62002786834,-0.155901550519147,0.151968948188487,-1.02587767025789,0.304949249250147,0.999982363306687,Not Significant,grey
ARPIN,ARPIN,1027.52999831268,-0.110070928225008,0.160293447940292,-0.68668388907579,0.492281951643133,0.999982363306687,Not Significant,grey
ARPP19,ARPP19,11888.595967868,0.0985297354103077,0.080636310911864,1.22190281643714,0.22174438027184,0.999982363306687,Not Significant,grey
ARRB1,ARRB1,953.779355856003,0.0389477629382522,0.163235630927379,0.238598415780801,0.811416993678528,0.999982363306687,Not Significant,grey
ARRB2,ARRB2,710.089064951391,0.0271568494233018,0.185793385535236,0.146166933473267,0.883789608432432,0.999982363306687,Not Significant,grey
ARRDC1,ARRDC1,936.230871743096,-0.0487733596487775,0.180033606832937,-0.270912528537169,0.786458308867182,0.999982363306687,Not Significant,grey
ARRDC1-AS1,ARRDC1-AS1,474.843839347009,-0.00530484066437471,0.221216264366414,-0.0239803374293853,0.980868292655531,0.999982363306687,Not Significant,grey
ARRDC2,ARRDC2,1359.80044995967,0.0672301825667862,0.151741032056328,0.443058687921863,0.657723285632305,0.999982363306687,Not Significant,grey
ARRDC3,ARRDC3,4633.17866782221,-0.438056854891784,0.33801320087446,-1.29597558248762,0.194983897376913,0.999982363306687,Not Significant,grey
ARRDC4,ARRDC4,4572.96118181293,0.169856602644754,0.099273996599963,1.71098785645965,0.0870833545750588,0.999982363306687,Not Significant,grey
ARSA,ARSA,2382.50387206563,-0.00664370074836453,0.116260259650753,-0.0571450706227757,0.954429633893418,0.999982363306687,Not Significant,grey
ARSB,ARSB,771.430162065636,0.112554872432799,0.182172560697299,0.617847561685329,0.53667582816874,0.999982363306687,Not Significant,grey
ARSD,ARSD,1361.20525518319,-0.0165087263528166,0.14174960281936,-0.116464004303805,0.907284812327979,0.999982363306687,Not Significant,grey
ARSG,ARSG,410.546797155706,-0.083350686869327,0.238416530931476,-0.349601122638946,0.726638068296146,0.999982363306687,Not Significant,grey
ARSI,ARSI,103.517475182078,-0.134212011202463,0.4556199141834,-0.294570116503817,0.76832229329665,0.999982363306687,Not Significant,grey
ARSJ,ARSJ,275.287781397368,0.164165144888886,0.286035701442976,0.573932359005239,0.566013574726643,0.999982363306687,Not Significant,grey
ARSK,ARSK,382.322765019502,0.156864545855813,0.247453522443741,0.63391518660429,0.526136174015618,0.999982363306687,Not Significant,grey
ARSL,ARSL,615.569501539274,0.14886798798079,0.201255851374061,0.739695203714098,0.459484959039002,0.999982363306687,Not Significant,grey
ARV1,ARV1,652.130035324569,0.0511485710110174,0.202027934485648,0.253175736025015,0.800132415681245,0.999982363306687,Not Significant,grey
ARVCF,ARVCF,5082.98712251943,0.240544796893699,0.0946644090885327,2.54102676190304,0.0110527459103735,0.743510660893022,Not Significant,grey
ARX,ARX,1304.12362745908,0.0439620827820915,0.147466366664266,0.298115996050674,0.765614633266706,0.999982363306687,Not Significant,grey
ASAH1,ASAH1,13405.398327208,-0.0138771924457904,0.0840823578868939,-0.165042855535257,0.868910250714437,0.999982363306687,Not Significant,grey
ASAH2,ASAH2,72.7452598896705,-0.323955696331467,0.5558341770448,-0.582827954289965,0.560009124535804,0.999982363306687,Not Significant,grey
ASAH2B,ASAH2B,274.949236307325,0.700601183051799,0.303748574403051,2.30651677766282,0.0210817737499318,0.999982363306687,Not Significant,grey
ASAP1,ASAP1,5190.60707239757,-0.0323104393609388,0.0935727868808366,-0.345297392949145,0.729870806411535,0.999982363306687,Not Significant,grey
ASAP2,ASAP2,474.914947603484,-0.0745556520052865,0.22547820758307,-0.330655688655937,0.7409045765156,0.999982363306687,Not Significant,grey
ASAP3,ASAP3,359.602842780073,-0.19652848979475,0.255552470873078,-0.769033807903806,0.441873240862084,0.999982363306687,Not Significant,grey
ASB1,ASB1,2696.5013145737,0.100822517166154,0.111819794455636,0.901651784077949,0.367241873396876,0.999982363306687,Not Significant,grey
ASB13,ASB13,920.037762449689,0.0964319056646555,0.166068424312823,0.580675742927545,0.561459013195702,0.999982363306687,Not Significant,grey
ASB16,ASB16,310.198710209554,-0.274380876319232,0.27066052861801,-1.01374543868741,0.310704236154507,0.999982363306687,Not Significant,grey
ASB16-AS1,ASB16-AS1,255.68195578162,-0.16691565827195,0.293791236181953,-0.568143762357073,0.569937354276596,0.999982363306687,Not Significant,grey
ASB4,ASB4,221.086416593173,0.157575557589526,0.316020847237579,0.498623932461846,0.618044341886167,0.999982363306687,Not Significant,grey
ASB6,ASB6,1176.70812885819,-0.100516331769021,0.150182485226503,-0.669294635905267,0.503307547887617,0.999982363306687,Not Significant,grey
ASB7,ASB7,674.183438072112,-0.174586321009416,0.192433806421094,-0.907253898139797,0.364272547441343,0.999982363306687,Not Significant,grey
ASB8,ASB8,1396.23229590091,0.0209209855058441,0.140950413204576,0.148427982793348,0.882005017579655,0.999982363306687,Not Significant,grey
ASB9,ASB9,723.514114516285,0.203752342329299,0.183421875390035,1.11083992515088,0.266637257737743,0.999982363306687,Not Significant,grey
ASCC1,ASCC1,849.61471034433,-0.077406596711138,0.178842165354856,-0.432820730824574,0.665145011453692,0.999982363306687,Not Significant,grey
ASCC2,ASCC2,1575.79016478709,-0.0399965409183572,0.134250703695414,-0.297924255273185,0.765760975068076,0.999982363306687,Not Significant,grey
ASCC3,ASCC3,2556.37417149432,0.0581951289464299,0.118937465897164,0.489291818246292,0.624635112680778,0.999982363306687,Not Significant,grey
ASCL1,ASCL1,101.714013268848,-0.71110045577477,0.467148295991441,-1.52221566872161,0.127955050335462,0.999982363306687,Not Significant,grey
ASCL2,ASCL2,230.007425246901,-0.266426634702817,0.32185638562778,-0.827781105486389,0.407794477036036,0.999982363306687,Not Significant,grey
ASF1A,ASF1A,636.208810352065,-0.0636857496744548,0.194319559586736,-0.327737206742836,0.743110368825654,0.999982363306687,Not Significant,grey
ASGR1,ASGR1,58.6021669415016,0.317573762236571,0.609744218154651,0.5208311170177,0.602484424202801,0.999982363306687,Not Significant,grey
ASH1L,ASH1L,5880.76741876072,0.0986202499310046,0.092576137226364,1.06528802006355,0.286745612367007,0.999982363306687,Not Significant,grey
ASH1L-AS1,ASH1L-AS1,74.8241283333868,-0.336967021454906,0.536043986714088,-0.628618228739941,0.529599023442568,0.999982363306687,Not Significant,grey
ASH2L,ASH2L,1704.59286287007,0.00987921614507701,0.131348366802874,0.07521384837547,0.940044566155132,0.999982363306687,Not Significant,grey
ASIC1,ASIC1,104.571599555609,-0.38438955736209,0.455540039764642,-0.843810694578434,0.398775198379116,0.999982363306687,Not Significant,grey
ASIC2,ASIC2,50.2092752343173,-0.353623390353409,0.645385241733566,-0.547926056386946,0.583742676596645,0.999982363306687,Not Significant,grey
ASIC3,ASIC3,294.535424780939,0.135439690554539,0.287597412607414,0.470935010599076,0.63768714549235,0.999982363306687,Not Significant,grey
ASL,ASL,869.425249418845,0.146257737866859,0.170002197571249,0.860328513139142,0.38960797965398,0.999982363306687,Not Significant,grey
ASMTL,ASMTL,191.688457856269,-0.805891547993314,0.344834435229755,-2.33703907052197,0.0194371526377563,0.999982363306687,Not Significant,grey
ASNS,ASNS,101.348269135716,-0.146093875914762,0.458876906971547,-0.318372691445598,0.750202250491081,0.999982363306687,Not Significant,grey
ASNSD1,ASNSD1,1314.54955207021,-0.154173546566194,0.144003572806274,-1.07062306553742,0.284338948016798,0.999982363306687,Not Significant,grey
ASPA,ASPA,88.9355163455006,-0.0560842321100168,0.490589962811286,-0.114319974645691,0.908984148824887,0.999982363306687,Not Significant,grey
ASPDH,ASPDH,100.208650119278,-0.0220958346885613,0.464152085729672,-0.0476047299320554,0.962031262364818,0.999982363306687,Not Significant,grey
ASPH,ASPH,10560.41612278,0.0568168884986267,0.0818990804936838,0.693742691079523,0.487843588190974,0.999982363306687,Not Significant,grey
ASPHD1,ASPHD1,1140.50208545371,-0.0985412355208335,0.155101728143143,-0.635332930848391,0.525211300418526,0.999982363306687,Not Significant,grey
ASPHD2,ASPHD2,77.667167295535,0.520914571178971,0.578422317922767,0.900578271339325,0.367812591829582,0.999982363306687,Not Significant,grey
ASPN,ASPN,685.332418575848,-0.610782168638085,0.195890648549102,-3.11797512112981,0.00182098174445506,0.224027776903475,Not Significant,grey
ASPSCR1,ASPSCR1,729.237966745213,0.0665518496021804,0.182965685960913,0.36373951351948,0.716052534053469,0.999982363306687,Not Significant,grey
ASRGL1,ASRGL1,841.545192720992,-0.167884480238792,0.173417580409647,-0.968093775972515,0.332997538019015,0.999982363306687,Not Significant,grey
ASS1,ASS1,786.971319338681,-0.0629047609781697,0.184741674255242,-0.340501195692638,0.733479122493577,0.999982363306687,Not Significant,grey
ASTE1,ASTE1,244.533336722197,-0.170650251344509,0.302278253297303,-0.564546901680908,0.57238199017314,0.999982363306687,Not Significant,grey
ASTN1,ASTN1,344.356599573271,-0.0435746270784444,0.257055737517584,-0.169514314285491,0.865392114120133,0.999982363306687,Not Significant,grey
ASTN2,ASTN2,65.1644384456603,0.0965466077590964,0.606467710556538,0.159194967973643,0.873515268281944,0.999982363306687,Not Significant,grey
ASXL1,ASXL1,2905.13427831428,0.00939786011767049,0.109218226543056,0.0860466280686737,0.931429350811147,0.999982363306687,Not Significant,grey
ASXL2,ASXL2,2992.00814399894,0.0515718438982486,0.110634644805717,0.466145518782228,0.641111343290772,0.999982363306687,Not Significant,grey
ASXL3,ASXL3,1025.09889892571,0.0121283871488365,0.187540426032768,0.0646707880823375,0.948436121851144,0.999982363306687,Not Significant,grey
ATAD1,ATAD1,2995.52041827394,0.0327671858530935,0.115375171905013,0.284005521396496,0.776406149336715,0.999982363306687,Not Significant,grey
ATAD2,ATAD2,449.663437521785,0.143219410910191,0.236764145308377,0.604903291939126,0.545243255722333,0.999982363306687,Not Significant,grey
ATAD2B,ATAD2B,727.861332732065,0.0696272182457105,0.182846660356963,0.380795679340167,0.703354865549576,0.999982363306687,Not Significant,grey
ATAD3A,ATAD3A,767.976853337924,0.0207391387238551,0.189451325080856,0.109469483599568,0.912830124839018,0.999982363306687,Not Significant,grey
ATAD3B,ATAD3B,815.805289149283,0.112030997972124,0.17571080835792,0.637587402955423,0.523742297922959,0.999982363306687,Not Significant,grey
ATAD3C,ATAD3C,523.487620000841,0.0370832463741972,0.22259831839042,0.166592661805989,0.867690568040018,0.999982363306687,Not Significant,grey
ATAD5,ATAD5,140.281115546498,0.142864396231002,0.393041411528433,0.363484335341256,0.716243112493498,0.999982363306687,Not Significant,grey
ATAT1,ATAT1,464.931354643964,-0.0657783885353677,0.226628867882344,-0.290247174378142,0.771627148778982,0.999982363306687,Not Significant,grey
ATCAY,ATCAY,221.096270133771,0.00191218201600506,0.332214397854458,0.00575586738068704,0.995407507641154,0.999982363306687,Not Significant,grey
ATE1,ATE1,1655.68887918824,0.0303510379348287,0.131774854684743,0.230324958486505,0.817839267834506,0.999982363306687,Not Significant,grey
ATF1,ATF1,1064.0278029622,0.173535786339529,0.165435360571044,1.04896429481899,0.294194551929466,0.999982363306687,Not Significant,grey
ATF2,ATF2,3417.774415574,0.0498632107812085,0.109572288109771,0.455071365592503,0.649057897522035,0.999982363306687,Not Significant,grey
